ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7082-4,KTTA & KOTITI,193,,woven,,"polyester 69%, ","viscose 29%, ",Polyurethane 2%,,,,,,,,,,,,,,,,,,,,,,
7082-5,KTTA & KOTITI,253,,Woven,,"(F) Polyurethane 100%, (B) polyester 100%",,,,,,,,,,,,,,,,,,,,,,,,
7082-8,KTTA & KOTITI,38,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7082-9,KTTA & KOTITI,326,,woven,,"polyester 41%, ","polyamide 29%, ","viscose 22%, ",PU 8%,,,,,,,,,,,,,,,,,,,,,
7082-10,KTTA & KOTITI,98,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7082-11,KTTA & KOTITI,123,,woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7089-1,KTTA & KOTITI,347,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
7089-2,KTTA & KOTITI,183,,woven,,"polyamide 86%,",EL 14%,,,,,,,,,,,,,,,,,,,,,,,
7109-1,KTTA & KOTITI,144,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7109-2,KTTA & KOTITI,175,,woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7110-1,KTTA & KOTITI,160,,woven,,"cotton 60%,",polyamide 40%,,,,,,,,,,,,,,,,,,,,,,,
7111-3,KTTA & KOTITI,237,,knit,,"polyester 31%, ","R 34%,","ME 27%, ",EL 8%,,,,,,,,,,,,,,,,,,,,,
7117-1,KTTA & KOTITI,253,,knit,,"polyester 94%,", EL 6%,,,,,,,,,,,,,,,,,,,,,,,
7130-2,KTTA & KOTITI,73,,woven,,viscose 100%,,,,,,,,,,,,,,,,,,,,,,,,
7166-1,KTTA & KOTITI,248,,knit,,"cotton 92%, ",EL 8%,,,,,,,,,,,,,,,,,,,,,,,
7170-2,KTTA & KOTITI,298,,woven,,"woolOL 87%,", Silk 13%,,,,,,,,,,,,,,,,,,,,,,,
7171-1,KTTA & KOTITI,128,,woven,,"cotton 55%,",Silk 45%,,,,,,,,,,,,,,,,,,,,,,,
7172-3,KTTA & KOTITI,245,,woven,,"polyamide 54%, ","polyester 36%,", Polyurethane 10%,,,,,,,,,,,,,,,,,,,,,,
7215-1,KTTA & KOTITI,216,,Woven,,"lyocell 79%, ",linen 21%,,,,,,,,,,,,,,,,,,,,,,,
7215-3,KTTA & KOTITI,361,,Woven,,polyamide 89%,Polyurethane 11%,,,,,,,,,,,,,,,,,,,,,,,
7216-1,KTTA & KOTITI,348,,Woven,,"polyamide 88%, ",Polyurethane 12%,,,,,,,,,,,,,,,,,,,,,,,
7217-1,KTTA & KOTITI,203,,knit,,"polyester 90%, ",EL 10%,,,,,,,,,,,,,,,,,,,,,,,
7218-1,KTTA & KOTITI,252,,knit,,"polyester 53%, ",PC 47%,,,,,,,,,,,,,,,,,,,,,,,
7229-1,KTTA & KOTITI,182,,knit,,"polyester 50%,"," polyamide 46%,",EL 4%,,,,,,,,,,,,,,,,,,,,,,
